play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
,,5,2020,Virginia Tech,Duke,,,,3,4,,1
,,5,2020,Virginia Tech,Duke,,,,2,11,,8
,,5,2020,Virginia Tech,Duke,,,,2,11,,8
,,5,2020,Virginia Tech,Duke,,,,1,10,,10
,,5,2020,Virginia Tech,Duke,,,,1,10,,0
,,5,2020,Virginia Tech,Duke,,,,2,10,,60
,,5,2020,Virginia Tech,Duke,,,,2,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,6
,,5,2020,Virginia Tech,Duke,,,,2,4,,7
,,5,2020,Virginia Tech,Duke,,,,1,10,,-5
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,-2
,,5,2020,Virginia Tech,Duke,,,,3,8,,36
,,5,2020,Virginia Tech,Duke,,,,3,8,,36
,,5,2020,Virginia Tech,Duke,,,,2,12,,4
,,5,2020,Virginia Tech,Duke,,,,2,7,,10
,,5,2020,Virginia Tech,Duke,,,,1,10,,5
,,5,2020,Virginia Tech,Duke,,,,2,5,,7
,,5,2020,Virginia Tech,Duke,,,,1,10,,3
,,5,2020,Virginia Tech,Duke,,,,2,7,,23
,,5,2020,Virginia Tech,Duke,,,,2,7,,1
,,5,2020,Virginia Tech,Duke,,,,2,8,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,3,16,,42
,,5,2020,Virginia Tech,Duke,,,,1,10,,2
,,5,2020,Virginia Tech,Duke,,,,2,10,,6
,,5,2020,Virginia Tech,Duke,,,,3,7,,1
,,5,2020,Virginia Tech,Duke,,,,3,7,,1
,,5,2020,Virginia Tech,Duke,,,,2,8,,11
,,5,2020,Virginia Tech,Duke,,,,1,10,,56
,,5,2020,Virginia Tech,Duke,,,,1,10,,56
,,5,2020,Virginia Tech,Duke,,,,1,10,,11
,,5,2020,Virginia Tech,Duke,,,,1,10,,14
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,2
,,5,2020,Virginia Tech,Duke,,,,1,10,,3
,,5,2020,Virginia Tech,Duke,,,,2,7,,4
,,5,2020,Virginia Tech,Duke,,,,3,3,,6
,,5,2020,Virginia Tech,Duke,,,,3,18,,1
,,5,2020,Virginia Tech,Duke,,,,3,18,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,2,10,,8
,,5,2020,Virginia Tech,Duke,,,,2,7,,1
,,5,2020,Virginia Tech,Duke,,,,2,7,,1
,,5,2020,Virginia Tech,Duke,,,,3,7,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,3
,,5,2020,Virginia Tech,Duke,,,,1,10,,3
,,5,2020,Virginia Tech,Duke,,,,2,7,,0
,,5,2020,Virginia Tech,Duke,,,,2,7,,0
,,5,2020,Virginia Tech,Duke,,,,1,10,,12
,,5,2020,Virginia Tech,Duke,,,,1,10,,12
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,1,10,,1
,,5,2020,Virginia Tech,Duke,,,,3,7,,1
,,5,2020,Virginia Tech,Duke,,,,2,9,,29
,,5,2020,Virginia Tech,Duke,,,,2,9,,29
,,5,2020,Virginia Tech,Duke,,,,1,10,,5
